Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
22990000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,16,5,5.0,512,1,,0.0,1,0,0,0,14.0,90,11,12.0,2880,1800
16990000,i5-1240P,7,12.0,16.0,12,4.4,4.4,1,28,64,5,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,2560,1440
16990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,0,14.0,60,11,12.0,1920,1080
20590000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
17990000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,24.0,1920,1080
20490000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
37890000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,0,13.0,60,10,36.0,1920,1200
71990000,i7-13850HX,7,20.0,28.0,30,5.3,5.3,1,55,157,7,16,5,5.0,512,1,,0.0,1,0,0,0,16.0,60,10,36.0,1920,1200
43990000,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,36.0,1920,1200
29900000,i5-1340P,7,12.0,16.0,12,4.6,4.6,1,28,64,5,16,5,5.0,512,1,,0.0,1,0,0,1,16.0,60,10,12.0,2560,1600
10990000,i3-1220P,7,10.0,12.0,12,4.4,4.4,1,28,64,3,8,4,5.0,256,1,,0.0,1,0,0,1,15.0,60,11,24.0,1920,1080
18990000,i9-13900H,7,14.0,20.0,24,5.4,5.4,1,45,115,9,16,5,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
18990000,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,15,55,7,32,4,5.0,512,1,,0.0,1,0,0,0,14.0,60,11,24.0,1920,1080
17990000,Ryzen 5 7535HS,6,6.0,12.0,19,3.3,4.55,0,35,54,5,32,5,5.0,512,1,535,4.0,0,1,0,1,15.0,144,11,24.0,1920,1080
76490000,i7-13800H,7,14.0,20.0,24,5.2,5.2,1,45,115,7,16,5,5.0,512,1,,0.0,1,0,0,0,16.0,60,10,36.0,1920,1200
22790000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
26590000,i5-13450HX,7,10.0,16.0,20,4.6,4.6,1,55,157,5,32,5,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
26190000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
77990000,i7-13850HX,7,20.0,28.0,30,5.3,5.3,1,55,157,7,32,5,5.0,1024,1,,0.0,1,0,0,0,16.0,60,11,36.0,1920,1200
30990000,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,45,115,7,32,5,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
12990000,i3-1315U,7,6.0,8.0,10,4.5,4.5,1,15,55,3,8,4,5.0,256,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
22490000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,6,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
21590000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,630,4.0,0,1,0,1,13.0,60,11,12.0,1920,1080
21990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
25990000,125H,7,14.0,18.0,18,0.7,4.5,1,28,115,5,16,5,5.0,1024,1,540,4.0,0,1,0,0,14.0,120,11,24.0,2880,1800
12990000,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,15,55,5,32,4,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
35990000,i7-1260P,7,12.0,16.0,18,4.7,4.7,1,28,64,7,32,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,36.0,2240,1400
33590000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,24,5,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,24.0,2880,1620
29990000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,1024,1,,0.0,1,0,0,0,14.0,60,11,24.0,1920,1200
22490000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,48,4,5.0,512,1,,0.0,1,0,0,1,16.0,60,10,24.0,1920,1200
21590000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,8,5,5.0,512,1,,0.0,1,0,0,0,15.0,144,11,24.0,1920,1080
33490000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,5,5.0,512,1,,0.0,1,0,0,0,13.0,60,10,36.0,1920,1200
20990000,i5-13420H,7,8.0,12.0,12,4.6,4.6,1,45,95,5,16,5,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
25490000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,1920,1200
