Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
30990000,i7-1360P,7,12.0,16.0,5.0,5.0,16,5,4.0,1024,1,0.0,3,17.0,60,11,12.0,2560,1600
18590000,i5-13500H,7,12.0,16.0,4.7,4.7,16,5,4.0,1024,1,0.0,1,14.0,60,11,36.0,1920,1200
13190000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,15.6,60,11,24.0,1920,1080
24990000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,1,14.0,60,11,24.0,1920,1200
15490000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,0,15.6,60,11,24.0,1920,1080
34990000,i7-13700HX,7,16.0,24.0,5.0,5.0,32,5,4.0,512,1,0.0,3,16.0,165,11,12.0,2560,1600
59450000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,0.0,1,14.0,120,11,24.0,2880,1800
21990000,i9-13900H,7,14.0,20.0,5.4,5.4,16,5,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
18590000,Ryzen 5 7530U,7,6.0,12.0,2.0,4.5,16,4,4.0,1024,1,0.0,3,14.0,60,11,12.0,1920,1080
24790000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,512,1,0.0,3,14.0,60,11,12.0,2240,1400
37990000,i7-12700H,7,14.0,20.0,4.7,4.7,64,4,4.0,1024,1,8.0,3,15.0,165,11,24.0,2560,1440
22490000,i7-12650H,7,10.0,16.0,4.7,4.7,64,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
18290000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,0,14.0,60,11,12.0,1920,1080
28590000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,1,14.0,60,11,24.0,1920,1200
13990000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,256,1,0.0,1,14.0,60,11,24.0,1920,1080
39990000,i7-14700HX,7,20.0,28.0,1.5,5.5,64,5,4.0,1024,1,8.0,3,16.0,240,11,24.0,2560,1600
28390000,i7-13620H,7,10.0,16.0,4.9,4.9,16,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
27990000,i7-13700H,7,14.0,20.0,5.0,5.0,48,4,4.0,1024,1,0.0,3,16.0,60,11,24.0,1920,1200
39490000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,512,1,0.0,3,14.0,60,11,12.0,1920,1200
12190000,i3-1305U,7,5.0,6.0,4.5,4.5,16,4,4.0,512,1,0.0,0,15.6,120,11,12.0,1920,1080
